,Id,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Cleaned_Text,Predicted_Sentiment
24,24, Celebrating a milestone at work! 🎉               ,Positive,2023-01-22 14:30:00, CareerMilestone,Facebook, #Career #Milestone                      ,12.0,25.0,Canada,2023,2023-01,22,14,celebrating milestone work,Positive
25,25, Sunday brunch with friends.                        ,Positive,2023-01-22 12:00:00, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,15.0,30.0,UK,2023,2023-01,22,12,sunday brunch friend,Positive
26,28, Learning a new language for personal growth.       ,Positive,2023-01-23 16:20:00, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,India,2023,2023-01,23,16,learning new language personal growth,Positive
27,29, Quiet evening with a good book.                    ,Positive,2023-01-23 19:45:00, BookLover    ,Instagram, #Reading #QuietTime                     ,15.0,30.0,Australia,2023,2023-01,23,19,quiet evening good book,Positive
28,30, Reflecting on the importance of mental health.     ,Positive,2023-01-24 11:30:00, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22.0,45.0,USA,2023,2023-01,24,11,reflecting importance mental health,Positive
29,31, New painting in progress! 🎨                       ,Positive,2023-01-24 15:00:00, ArtistInAction,Facebook, #Art #PaintingInProgress             ,12.0,25.0,Canada,2023,2023-01,24,15,new painting progress,Positive
30,32, Weekend road trip to explore scenic views.         ,Positive,2023-01-24 17:30:00, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,UK,2023,2023-01,24,17,weekend road trip explore scenic view,Neutral
31,33, Enjoying a cup of tea and watching the sunset.     ,Positive,2023-01-25 18:00:00, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15.0,30.0,India,2023,2023-01,25,18,enjoying cup tea watching sunset,Positive
32,34, Coding a new project with enthusiasm.              ,Positive,2023-01-25 13:15:00, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30.0,60.0,USA,2023,2023-01,25,13,coding new project enthusiasm,Positive
33,35, Feeling inspired after attending a workshop.       ,Positive,2023-01-26 09:45:00, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25.0,50.0,USA,2023,2023-01,26,9,feeling inspired attending workshop,Positive
34,36, Winter sports day at the local park.               ,Positive,2023-01-26 14:20:00, WinterSports  ,Twitter, #WinterSports #Fun                     ,15.0,30.0,Canada,2023,2023-01,26,14,winter sport day local park,Neutral
35,37, Quality time with family this weekend.             ,Positive,2023-01-26 17:40:00, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,22.0,45.0,UK,2023,2023-01,26,17,quality time family weekend,Neutral
36,38, Attending a live music concert tonight.            ,Positive,2023-01-27 20:00:00, MusicLover   ,Instagram, #Music #ConcertNight                  ,18.0,35.0,USA,2023,2023-01,27,20,attending live music concert tonight,Neutral
37,39, Practicing mindfulness with meditation.            ,Positive,2023-01-27 12:30:00, MindfulMoments,Twitter, #Mindfulness #Meditation               ,15.0,30.0,India,2023,2023-01,27,12,practicing mindfulness meditation,Neutral
38,40, Trying out a new dessert recipe.                   ,Positive,2023-01-27 16:10:00, DessertExplorer,Facebook, #Dessert #Cooking                      ,12.0,25.0,Canada,2023,2023-01,27,16,trying new dessert recipe,Neutral
39,41, Excited about the upcoming gaming tournament.      ,Positive,2023-01-28 09:00:00, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30.0,60.0,USA,2023,2023-01,28,9,excited upcoming gaming tournament,Positive
40,42, Planning a garden makeover for spring.             ,Positive,2023-01-28 14:45:00, GardenPlanner ,Twitter, #Gardening #Spring                     ,25.0,50.0,USA,2023,2023-01,28,14,planning garden makeover spring,Neutral
41,43, Celebrating a friend's birthday tonight! 🎂       ,Positive,2023-01-28 19:30:00, BirthdayBash ,Facebook, #Birthday #Celebration                  ,15.0,30.0,UK,2023,2023-01,28,19,celebrating friend birthday tonight,Positive
42,44, Feeling accomplished after a productive day.       ,Positive,2023-01-29 17:00:00, ProductivityWin,Instagram, #Accomplished #Success               ,22.0,45.0,India,2023,2023-01,29,17,feeling accomplished productive day,Positive
43,45, A cozy evening with a good movie.                 ,Positive,2023-01-29 20:20:00, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,18.0,35.0,Canada,2023,2023-01,29,20,cozy evening good movie,Positive
44,46, Exploring local art galleries this weekend.        ,Positive,2023-01-30 11:30:00, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15.0,30.0,USA,2023,2023-01,30,11,exploring local art gallery weekend,Neutral
45,47, New book release from my favorite author!          ,Positive,2023-01-30 15:45:00, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,UK,2023,2023-01,30,15,new book release favorite author,Positive
46,48, Attending a virtual reality meetup.                ,Positive,2023-01-30 18:30:00, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0,India,2023,2023-01,30,18,attending virtual reality meetup,Neutral
47,49, Reflecting on the beauty of nature.                ,Positive,2023-01-31 10:45:00, NatureLover  ,Facebook, #Nature #Reflection                     ,15.0,30.0,Australia,2023,2023-01,31,10,reflecting beauty nature,Positive
48,50, Cooking a special dinner for loved ones.           ,Positive,2023-01-31 19:00:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20.0,40.0,USA,2023,2023-01,31,19,cooking special dinner loved one,Positive
49,51, Feeling optimistic about the week ahead.           ,Positive,2023-01-31 16:20:00, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0,Canada,2023,2023-01,31,16,feeling optimistic week ahead,Positive
50,52, Starting a new fitness challenge tomorrow! 💪     ,Positive,2023-02-01 08:00:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,UK,2023,2023-02,1,8,starting new fitness challenge tomorrow,Positive
51,53, Sunday bike ride through scenic trails.           ,Positive,2023-02-01 13:30:00, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0,USA,2023,2023-02,1,13,sunday bike ride scenic trail,Neutral
52,55, Can't believe the injustice happening in our society.,Negative,2023-02-11 09:30:00, SocialJustice   ,Twitter, #Injustice #Angry                            ,20.0,40.0,Canada,2023,2023-02,11,9,cant believe injustice happening society,Positive
53,56, Feeling a sense of fear after watching a thriller movie. ,Neutral,2023-02-11 21:15:00, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0,USA,2023,2023-02,11,21,feeling sense fear watching thriller movie,Negative
54,57, Heartbroken after hearing the news about a natural disaster. ,Negative,2023-02-12 14:45:00, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,India,2023,2023-02,12,14,heartbroken hearing news natural disaster,Negative
55,58, The state of the world's environment is just disgusting. ,Negative,2023-02-12 18:20:00, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18.0,35.0,UK,2023,2023-02,12,18,state world environment disgusting,Negative
56,59, Pure happiness: celebrating a loved one's achievement! ,Positive,2023-02-13 10:00:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30.0,60.0,USA,2023,2023-02,13,10,pure happiness celebrating loved one achievement,Positive
57,60, Laughter is the best medicine—enjoying a comedy show. ,Positive,2023-02-13 19:30:00, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22.0,45.0,Canada,2023,2023-02,13,19,laughter best medicineenjoying comedy show,Positive
58,61, Sharing love and positive vibes with everyone! ❤️      ,Positive,2023-02-14 08:30:00, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2023-02,14,8,sharing love positive vibe everyone,Positive
59,62, An amusing incident brightened up my day!               ,Positive,2023-02-14 14:20:00, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18.0,35.0,UK,2023,2023-02,14,14,amusing incident brightened day,Positive
60,63, Enjoying a quiet evening with a book and some tea.      ,Positive,2023-02-14 19:45:00, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25.0,50.0,Canada,2023,2023-02,14,19,enjoying quiet evening book tea,Positive
61,64, Admiring the beauty of nature during a peaceful hike.   ,Positive,2023-02-15 11:30:00, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20.0,40.0,USA,2023,2023-02,15,11,admiring beauty nature peaceful hike,Positive
62,65, Sending affectionate vibes to all my followers!          ,Positive,2023-02-15 16:00:00, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2023-02,15,16,sending affectionate vibe follower,Positive
63,66, Experiencing awe at the breathtaking sunset.            ,Positive,2023-02-15 20:30:00, AweStruck       ,Facebook, #Awe #Breathtaking                          ,22.0,45.0,Australia,2023,2023-02,15,20,experiencing awe breathtaking sunset,Positive
64,67, Disappointed with the service at a local restaurant.    ,Negative,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18.0,35.0,India,2023,2023-02,16,9,disappointed service local restaurant,Negative
65,68, A surprise gift from a friend made my day!              ,Neutral,2023-02-16 14:45:00, HappySurprise   ,Instagram, #Surprise #Gift                              ,25.0,50.0,USA,2023,2023-02,16,14,surprise gift friend made day,Positive
66,69, Finding acceptance in the midst of life's challenges.   ,Positive,2023-02-16 18:20:00, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15.0,30.0,Canada,2023,2023-02,16,18,finding acceptance midst life challenge,Positive
67,70, Overflowing with adoration for my adorable pet! 🐾      ,Positive,2023-02-17 10:45:00, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22.0,45.0,UK,2023,2023-02,17,10,overflowing adoration adorable pet,Positive
68,71, Anticipating a thrilling adventure in the coming weeks. ,Positive,2023-02-17 07:30:00, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2023-02,17,7,anticipating thrilling adventure coming week,Positive
69,72, A bitter experience turned into a valuable lesson.      ,Negative,2023-02-17 15:00:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18.0,35.0,USA,2023,2023-02,17,15,bitter experience turned valuable lesson,Positive
70,73, Finding calmness in the midst of a busy day.            ,Positive,2023-02-18 09:30:00, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,15.0,30.0,India,2023,2023-02,18,9,finding calmness midst busy day,Positive
71,74, Confusion clouds my mind as I navigate through decisions.,Neutral,2023-02-18 14:20:00, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,25.0,50.0,UK,2023,2023-02,18,14,confusion cloud mind navigate decision,Negative
72,75, Excitement building up for the upcoming vacation!       ,Positive,2023-02-18 18:45:00, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22.0,45.0,Canada,2023,2023-02,18,18,excitement building upcoming vacation,Positive
73,76, Kindness witnessed today restored my faith in humanity. ,Positive,2023-02-19 11:30:00, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0,USA,2023,2023-02,19,11,kindness witnessed today restored faith humanity,Positive
74,77, Pride in achieving a personal milestone.               ,Positive,2023-02-19 16:00:00, PersonalAchiever,Instagram, #Pride #Milestone                           ,30.0,60.0,Australia,2023,2023-02,19,16,pride achieving personal milestone,Positive
75,78, A moment of shame for not standing up against injustice. ,Negative,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2023-02,19,19,moment shame standing injustice,Negative
76,79, Fuming with anger after a heated argument.            ,Negative,2023-02-20 09:30:00, AngryDebater    ,Twitter, #Anger #Argument                             ,20.0,40.0,Canada,2023,2023-02,20,9,fuming anger heated argument,Negative
77,80, The fear of the unknown is keeping me up at night.    ,Neutral,2023-02-20 21:15:00, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15.0,30.0,USA,2023,2023-02,20,21,fear unknown keeping night,Negative
78,81, Heartfelt sadness after bidding farewell to a dear friend. ,Negative,2023-02-21 14:45:00, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25.0,50.0,India,2023,2023-02,21,14,heartfelt sadness bidding farewell dear friend,Positive
79,82, The state of corruption in our society is utterly disgusting. ,Negative,2023-02-21 18:20:00, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18.0,35.0,UK,2023,2023-02,21,18,state corruption society utterly disgusting,Negative
80,83, Overflowing happiness: welcoming a new family member!  ,Positive,2023-02-22 10:00:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,UK,2023,2023-02,22,10,overflowing happiness welcoming new family member,Positive
81,84, Laughter is the key to joy—attending a stand-up comedy show. ,Positive,2023-02-22 19:30:00, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22.0,45.0,Canada,2023,2023-02,22,19,laughter key joyattending standup comedy show,Positive
82,85, Sending love to all my followers on this beautiful day! ❤️ ,Positive,2023-02-23 08:30:00, LoveSender      ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2023-02,23,8,sending love follower beautiful day,Positive
83,86, Amused by the antics of my pet—it's pure amusement!      ,Positive,2023-02-23 14:20:00, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18.0,35.0,UK,2023,2023-02,23,14,amused antic petits pure amusement,Positive
84,87, Enjoying every moment of this trip—pure enjoyment!      ,Positive,2023-02-23 19:45:00, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25.0,50.0,USA,2023,2023-02,23,19,enjoying every moment trippure enjoyment,Positive
85,88, Admiring the dedication of volunteers at a local charity. ,Positive,2023-02-24 11:30:00, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20.0,40.0,USA,2023,2023-02,24,11,admiring dedication volunteer local charity,Positive
86,89, Sending affectionate vibes to friends and family.        ,Positive,2023-02-24 16:00:00, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2023-02,24,16,sending affectionate vibe friend family,Positive
87,90, Awe-struck by the beauty of the night sky.               ,Positive,2023-02-24 20:30:00, Stargazer       ,Facebook, #Awe #StarryNight                        ,22.0,45.0,Australia,2023,2023-02,24,20,awestruck beauty night sky,Positive
88,91, Disappointed with the lack of progress in a personal project. ,Negative,2023-02-25 09:00:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18.0,35.0,India,2023,2023-02,25,9,disappointed lack progress personal project,Negative
89,92, A surprise visit from an old friend brought tears of joy. ,Neutral,2023-02-25 14:45:00, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,25.0,50.0,USA,2023,2023-02,25,14,surprise visit old friend brought tear joy,Positive
90,93, Embracing acceptance of life's ups and downs.           ,Positive,2023-02-25 18:20:00, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,15.0,30.0,Canada,2023,2023-02,25,18,embracing acceptance life ups down,Positive
91,94, Overflowing adoration for a cute rescue puppy! 🐶       ,Positive,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22.0,45.0,UK,2023,2023-02,26,10,overflowing adoration cute rescue puppy,Positive
92,95, Anticipating the release of a much-awaited movie.       ,Positive,2023-02-26 07:30:00, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,20.0,40.0,Australia,2023,2023-02,26,7,anticipating release muchawaited movie,Neutral
93,96, Bitter experience at the customer service department.   ,Negative,2023-02-26 15:00:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18.0,35.0,USA,2023,2023-02,26,15,bitter experience customer service department,Negative
94,97, Finding calmness amidst the chaos of daily life.        ,Positive,2023-02-27 09:30:00, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,15.0,30.0,India,2023,2023-02,27,9,finding calmness amidst chaos daily life,Negative
95,98, Confusion reigns as I try to make sense of recent events.,Neutral,2023-02-27 14:20:00, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,25.0,50.0,UK,2023,2023-02,27,14,confusion reign try make sense recent event,Negative
96,99, Excitement building up for a surprise birthday party.   ,Positive,2023-02-27 18:45:00, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0,Canada,2023,2023-02,27,18,excitement building surprise birthday party,Positive
97,100, Witnessed an act of kindness that made my day.          ,Positive,2023-02-28 11:30:00, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,USA,2023,2023-02,28,11,witnessed act kindness made day,Positive
98,101, Pride in completing a challenging fitness challenge.    ,Positive,2023-02-28 16:00:00, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,UK,2023,2023-02,28,16,pride completing challenging fitness challenge,Positive
99,102, A moment of shame for not speaking up against injustice.,Negative,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2023-02,28,19,moment shame speaking injustice,Negative
100,103, Reflecting on the beauty of diversity in our world.     ,Positive,2023-03-01 10:45:00, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,22.0,45.0,Australia,2023,2023-03,1,10,reflecting beauty diversity world,Positive
101,104, Excitement for a quiet evening with a good book.        ,Positive,2023-03-01 13:30:00, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18.0,35.0,USA,2023,2023-03,1,13,excitement quiet evening good book,Positive
102,105, Feeling bitter about the unfairness in the workplace.   ,Negative,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15.0,30.0,Canada,2023,2023-03,1,17,feeling bitter unfairness workplace,Negative
103,106, Calmness prevails as I practice mindfulness.            ,Positive,2023-03-02 18:00:00, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,15.0,30.0,UK,2023,2023-03,2,18,calmness prevails practice mindfulness,Positive
104,107, Confusion surrounds me as I navigate through life's choices. ,Neutral,2023-03-02 13:15:00, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,30.0,60.0,USA,2023,2023-03,2,13,confusion surround navigate life choice,Negative
105,108, Excitement for a weekend road trip to explore new places. ,Positive,2023-03-02 16:45:00, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0,India,2023,2023-03,2,16,excitement weekend road trip explore new place,Positive
106,109, Kindness witnessed today restores my faith in humanity.  ,Positive,2023-03-03 11:30:00, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22.0,45.0,USA,2023,2023-03,3,11,kindness witnessed today restores faith humanity,Positive
107,110, Pride in accomplishing personal and professional goals.  ,Positive,2023-03-03 14:30:00, GoalAchiever    ,Instagram, #Pride #Accomplishments                     ,12.0,25.0,Canada,2023,2023-03,3,14,pride accomplishing personal professional goal,Positive
108,111, Shame for not being true to my values in a difficult situation.,Negative,2023-03-03 12:00:00, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,15.0,30.0,UK,2023,2023-03,3,12,shame true value difficult situation,Negative
109,112," Revisiting old memories, feeling a sense of elation. ",Positive,2010-05-15 15:30:00, NostalgiaFan    ,Twitter, #Elation #Memories                             ,20.0,40.0,Canada,2010,2010-05,15,15,revisiting old memory feeling sense elation,Positive
110,113, The victory of our team brought euphoria to the city. ,Positive,2021-08-10 21:15:00, SportsFanatic   ,Instagram, #Euphoria #Victory                             ,15.0,30.0,USA,2021,2021-08,10,21,victory team brought euphoria city,Positive
111,114," Embracing the beauty of nature, a moment of contentment. ",Positive,2011-06-20 14:45:00, NatureLover2    ,Facebook, #Contentment #Nature                           ,25.0,50.0,India,2011,2011-06,20,14,embracing beauty nature moment contentment,Positive
112,115," Meditating by the serene lake, finding inner peace.   ",Positive,2022-02-12 18:20:00, ZenMaster2      ,Twitter, #Serenity #Meditation                          ,18.0,35.0,UK,2022,2022-02,12,18,meditating serene lake finding inner peace,Positive
113,116, Overflowing with gratitude for life's blessings.      ,Positive,2012-11-25 10:00:00, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,30.0,60.0,Australia,2012,2012-11,25,10,overflowing gratitude life blessing,Positive
114,117," Hopeful for a brighter tomorrow, despite challenges.  ",Positive,2013-04-05 19:30:00, OptimisticSoul  ,Facebook, #Hope #Optimism                                ,22.0,45.0,USA,2013,2013-04,5,19,hopeful brighter tomorrow despite challenge,Positive
115,118, Empowered to make a difference in my community.        ,Positive,2014-09-14 08:30:00, CommunityLeader ,Twitter, #Empowerment #Community                        ,15.0,30.0,UK,2014,2014-09,14,8,empowered make difference community,Neutral
116,119, Compassion in action: supporting a local charity event. ,Positive,2015-07-18 14:20:00, CharitySupporter,Instagram, #Compassion #CharityEvent                   ,18.0,35.0,Canada,2015,2015-07,18,14,compassion action supporting local charity event,Positive
117,120," A moment of tenderness, connecting with loved ones.    ",Positive,2016-02-23 19:45:00, LovingHeart     ,Facebook, #Tenderness #FamilyTime                       ,25.0,50.0,UK,2016,2016-02,23,19,moment tenderness connecting loved one,Positive
118,121, Arousal of excitement as I await a special announcement.,Positive,2017-10-30 11:30:00, ExcitementFan   ,Twitter, #Arousal #Excitement                           ,20.0,40.0,Australia,2017,2017-10,30,11,arousal excitement await special announcement,Positive
119,122, Enthusiastically diving into a new project.            ,Positive,2018-06-15 16:00:00, ProjectEnthusiast,Instagram, #Enthusiasm #NewProject                       ,15.0,30.0,USA,2018,2018-06,15,16,enthusiastically diving new project,Positive
120,123, Feeling a sense of fulfillment after reaching a milestone.,Positive,2019-03-28 18:20:00, MilestoneAchiever,Facebook, #Fulfillment #Milestone                       ,22.0,45.0,India,2019,2019-03,28,18,feeling sense fulfillment reaching milestone,Positive
121,124, Reverence for the beauty of a historic landmark.       ,Positive,2019-11-11 15:00:00, HistoryLover    ,Twitter, #Reverence #History                           ,18.0,35.0,UK,2019,2019-11,11,15,reverence beauty historic landmark,Positive
122,125, Elation after a surprise reunion with old friends.    ,Positive,2020-04-02 09:30:00, JoyfulReunion2  ,Instagram, #Elation #OldFriends                          ,25.0,50.0,Canada,2020,2020-04,2,9,elation surprise reunion old friend,Positive
123,126, The euphoria of a live music concert under the stars.  ,Positive,2021-06-19 14:45:00, MusicEnthusiast ,Facebook, #Euphoria #LiveMusic                          ,15.0,30.0,USA,2021,2021-06,19,14,euphoria live music concert star,Positive
124,127, Contentment in the simplicity of a quiet Sunday.       ,Positive,2010-08-15 10:00:00, SimpleJoys      ,Twitter, #Contentment #SundayMood                      ,30.0,60.0,Australia,2010,2010-08,15,10,contentment simplicity quiet sunday,Positive
125,128, Serenity found in the pages of a favorite book.        ,Positive,2011-09-22 19:30:00, BookLover3      ,Instagram, #Serenity #BookTime                           ,22.0,45.0,UK,2011,2011-09,22,19,serenity found page favorite book,Positive
126,129, Gratitude for the support received during tough times. ,Positive,2012-03-10 08:30:00, SupportiveFriend,Facebook, #Gratitude #Supportive                        ,15.0,30.0,India,2012,2012-03,10,8,gratitude support received tough time,Positive
